category,nctid,name,phase,summary
new hit from stringent search,NCT04310228,"Favipiravir Combined With Tocilizumab, Tocilizumab",Not Applicable,The purpose of this study is to evaluate the efficacy and safety of favipiravir combined with tocilizumab in the treatment of corona virus disease 2019.
new hit from stringent search,NCT04494724,Clazakizumab,Phase 2,The purpose of this study is to investigate the effectiveness and safety of treatment with clazakizumab compared to a placebo (inactive substance). We are proposing to try this drug to treat coronavirus disease 2019 (COVID-19) infection. Patients with COVID-19 infection have been shown to have increases in certain inflammatory processes. Clazakizumab is an antibody (immune system protein) that blocks certain inflammatory processes. The treatment plan is to attempt to inhibit or block these inflammatory processes in order to try to limit the damage COVID-19 causes to the lungs.
new hit from stringent search,NCT04460105,Lanadelumab,Phase 1,"The purpose of this study is to evaluate the safety, pharmacokinetic and pharmacodynamics of lanadelumab administered by intravenous (IV) infusion when added to standard-of-care (SoC) in adults hospitalized with COVID-19 pneumonia."
new hit from stringent search,NCT04409262,Tocilizumab,Phase 3,This study will evaluate the efficacy and safety of combination therapy with remdesivir plus tocilizumab compared with remdesivir plus placebo in hospitalized patients with COVID-19 pneumonia.
new hit from stringent search,NCT04372186,Tocilizumab,Phase 3,This study will evaluate the efficacy and safety of tocilizumab (TCZ) compared with a placebo in combination with standard of care (SOC) in hospitalized participants with COVID-19 pneumonia.
new hit from stringent search,NCT04363736,Tociliuzumab,Phase 2,"This study will assess the pharmacodynamics, pharmacokinetics, safety and efficacy of two different doses of tocilizumab (TCZ) in combination with standard-of-care (SOC) in hospitalized adult participants with moderate to severe COVID-19 pneumonia."
new hit from stringent search,NCT04346355,Tocilizumab,Phase 2,"The clinical study aims at assessing whether early administration of Tocilizumab compared to late administration of Tocilizumab can reduce the number of patients with COVID-19 pneumonia who require mechanical ventilation. The clinical study includes patients with recent-onset COVID-19 pneumonia who require hospital care, but not invasive or semi-invasive mechanical ventilation procedures."
new hit from stringent search,NCT04317092,Tocilizumab Injection,Phase 2,"This study project includes a single-arm phase 2 study and a parallel observational cohort study, enrolling patients with COVID-19 pneumonia."
new hit from stringent search,NCT02735707,"Tocilizumab, Sarilumab",Phase 4,"REMAP-CAP is a randomised, embedded, multifactorial, adaptive platform trial for community-acquired pneumonia.

The purpose of this study is to evaluate the effect of a range of interventions to improve outcome of patients admitted to intensive care with community-acquired pneumonia.

In addition, REMAP-CAP provides and adaptive research platform for evaluation of multiple treatment modalities in the event of a respiratory pandemic resulting in critical illness.

REMAP-COVID is a sub-platform of REMAP-CAP that evaluates treatments specific to COVID-19."
new hit from stringent search,NCT04435717,"Tocilizumab 20 MG/ML Intravenous Solution [ACTEMRA]_#1 (2 doses), Tocilizumab 20 MG/ML Intravenous Solution [ACTEMRA]_#1",Phase 2,"unicenter, randomized, open-label clinical trial on the efficacy of tocilizumab in modifying the inflammatory parameters of patients with COVID-19."
new hit from stringent search,NCT04424056,"Tocilizumab and Ruxolitinib (Advanced stage 3), Tocilizumab +/- ruxolitinib (stages 2b/3)",Phase 3,"COVID19-associated disease may have different clinical aspects classified in 3 stages. Some patients initially presenting with a non-hypoxemic viral pneumonia (stage 2a) may evolve toward a more severe stage 2b or 3 (acute respiratory distress syndrome, ARDS) around the 7th or 10th day of evolution, with a severe biological inflammatory syndrome (CRP>200 mg/l), and some times more severe complications such as acute renal insufficiency, consumptive coagulopathy or shock, requiring increasing oxygen therapy, ICU admission, invasive mechanical ventilation and possibly leading to death. This detrimental evolution is due to a host-derived ""cytokine storm"" with a great excess of circulating inflammatory cytokines. In animal models of ARDS complicating coronavirus or influenza virus infection, the cytokine storm has been linked to hyperactivation of the NLRP3 inflammasome. NLRP3 constitutes an intracellular protein platform which is responsible for caspase1 activation and processing of interleukin (IL)-1beta and IL-18 . IL-1b is a major proinflammatory cytokine which induces IL-6, whereas IL-18 is an inducer of interferon gamma (IFNg) production by Th-1 lymphocytes. A blood IL-1/IL-6 signature can be defined by increased neutrophilia and CRP concentrations, whereas an IL-18/IFNg signature is characterized by severe hyperferritinemia, consumptive coagulopathy and cytopenia. A majority of patients with COVID-19 infections seems to have an IL-1/IL-6 signature, evolving in the more severe forms toward an IL-18/IFNg signature, mimicking cytokine profiles observed in other inflammatory diseases such as Still's disease or hemophagocytic syndromes. In Still's disease, therapeutic inhibition of IL-1 or IL-6 has proven to be very efficient strategies. During hemophagocytic syndromes, inhibition of IFNg is effective in humans notably through blockade of its receptor signalization, using the JAK kinase inhibitor ruxolitinib.

Following this strategy, we propose to use biological drugs currently available for inhibition of IL-1 (anakinra), IL-6 (tocilizumab) or IFNg signaling (ruxolitinib) in the severe forms of COVID19-associated disease. Our hypothesis is that IL-1, IL-6 or JAK kinase inhibition will allow:

to prevent stage 2b worsening and the need to be admitted in ICU, by decreasing oxygen-requirement and systemic inflammation
to improve stage 3 and extremely severe stage 3, allowing invasive mechanical ventilation weaning, improving multi-system organ dysfunction, leading to a faster ICU exit.

We propose an open randomized therapeutic trial (1/1/1) on 216 patients with severe stage 2b and 3 of the disease"
new hit from stringent search,NCT04390464,Ravulizumab,Phase 4,"TACTIC-R is a randomised, parallel arm, open-label platform trial for investigating potential treatment for COVID-19 disease. While SARS-CoV infection evades detection by the immune system in the first 24 hours of infection, it ultimately produces a massive immune system response in the subgroup of people who develop severe complications. Most tissue damage following infection with COVID19 appears to be due to a later, exaggerated, host immune response. This leads to lung and sometimes multi-organ damage.

Most people who develop these severe complications still have virus present in their respiratory tract at the time-point when the disease starts to evolve. Immune modulation in the presence of active infection has potential to cause more harm than benefit. Safety considerations when studying immune modulation strategies are paramount. Therefore, this study proposes to assess the efficacy of immunomodulatory agents that target dysregulated immune response that drive the severe lung, and other organ, damage. The medications investigated for efficacy in this trial are Baricitinib and Ravulizumab."
new hit from stringent search,NCT04386239,Sarilumab Prefilled Syringe,Early Phase 1,"Sarilumab is an anti-interleukin-6 human monoclonal antibody, such as tocilizumab, which is administered subcutaneously every two weeks for the treatment of moderate to severe active rheumatoid arthritis in adult patients. Despite the effectiveness reported for tocilizumab in the recently published experiences, the need to rapidly find alternative therapies to manage the complications of Covid-19 infection remains extremely high. The lack of clinical experience on the usage of sarilumab in such patients prevents the possibility of adopting early access programs for using commercially available sarilumab (prefilled syringe) packs in patients with severe Covid-19 pneumonia. The present study is aimed to generate a rapid, still robustly documented, evidence on the potential clinical efficacy and tolerability of a further IL-6R antagonist in Covid-19 pneumonia."
new hit from stringent search,NCT04363502,Clazakizumab,Phase 2,"In this study Investigators propose to administer clazakizumab to patients with life-threatening COVID-19 infection manifest by pulmonary failure and a clinical picture consistent with a cytokine storm syndrome. This is a single-center randomized, double-blind, placebo-controlled trial in which 30 patients will be enrolled and randomly assigned in a 1:1 ratio to two study arms that will receive clazakizumab at a dose of 25 mg or placebo."
new hit from stringent search,NCT04348500,Clazakizumab,Phase 2,"This is a single center, randomized, double-blind, placebo-controlled, exploratory phase II study enrolling 60 patients. We propose the administration of a blinded dose of an investigational product (IP) (clazakizumab or placebo[0.9% saline]) in patients with COVID-19 disease and signs of pulmonary involvement who have not yet required mechanical ventilation and/or ECMO. If a patient progresses to mechanical ventilation and/or ECMO or develops clinical signs of deteriorating COVID-19 disease, and there are no treatment related serious adverse events(SAEs), within the initial 14 day period after the first dose of the IP, at the discretion of the investigator or treating physician, open-label clazakizumab 25mg IV X 1 dose may be administered. A minimum of 24 hours should elapse between the first dose of IP and this dose of open-label clazakizumab. The patient will remain blinded as to the identity of the IP administered in the first dose."
new hit from stringent search,NCT04412291,Tocilizumab Prefilled Syringe,Phase 2,"The study is designed as a randomized, controlled, single-center open-label trial to compare standard-of-care (SOC) treatment with SOC + anakinra or SOC + tocilizumab treatment in hospitalized adult subjects who are diagnosed with severe COVID 19.

Arm A: Standard-of-care Treatment (SOC) Arm B: Anakinra + SOC Arm C: Tocilizumab + SOC.

All subjects will be treated with standard-of-care treatment and broad spectrum antibiotics initiated before or latest 24 hours after initiation of treatment with study drug.

The primary follow up period of the study is 29 days"
new hit from stringent search,NCT04357808,Sarilumab,Phase 2,"The global health emergency created by the rapid spread of the SARS-CoV-2 coronavirus has pushed healthcare services to face unprecedent challenges to properly manage COVID-19 severe and critical manifestations affecting a wide population in a short period of time. Clinicians are committed to do their best with a great uncertainty in this evolving crisis. Off label use of plenty of drugs has arisen the need for clinical trials to demonstrate their true role in the therapy. Based in unpublished experiences in China, Italy and Spain, intravenous IL-6 receptor inhibitors are now being tested in several trials but no data on subcutaneous formulations are available yet. Sarilumab is a human monoclonal antibody that binds membrane-bound and soluble IL-6 receptors to inhibit IL-6 signalling, licensed in a subcutaneous route administration."
new hit from stringent search,NCT04377750,Tocilizumab,Phase 4,"Title: The use of Tocilizumab in the management of patients who have severe COVID-19 with suspected pulmonary hyperinflammation.

This is a study designed to assess the therapeutic value of intravenous tocilizumab administered as single 8mg/Kg dose in patients affected by SARS-CoV2 infection with a pulmonary manifestation causing hypoxia. Aim of the study is to test the hypothesis that anti-IL6 treatment can be effective in reducing the virus-induced cytokine storm, blocking deterioration of lung function or even promoting a rapid improvement of clinical conditions, preventing tracheal intubation and/or death.

This drug will be administered to those patients entering the ICU with severe acute respiratory failure COVID-19 disease. The endpoints are death and duration of hospitalization. The patients will be assessed with surrogate markers determining the level of the cytokine storm."
new hit from stringent search,NCT04349410,Tocilizumab,"Phase 2, Phase 3","Diagnostic determination of disease and treatment responses has been limited to qualitative imaging, measurement of serum markers of disease, and sampling of tissue. In each of these instances, there is a built in error either due to sensitivity and specificity issues, clinician interpretation of results, or acceptance of the use of an indirect marker (blood test) of what is happening elsewhere in the body - at the tissue level.

The Fleming Method for Tissue and Vascular Differentiation and Metabolism (FMTVDM) using same state single or sequential quantification comparisons [1] provides the first and only patented test (#9566037) - along with the associated submitted patent applications ruled to be covered under #9566037 - that quantitatively measures changes in tissue resulting from inter alia a disease process. This includes inter alia coronary artery disease (CAD), cancer and infectious/inflammatory processes including CoVid-19 pneumonia (CVP) resulting from the metabolic and regional blood flow differences (RBFDs) caused by these diseases.

The purpose of this paper is to make clinicians and researchers aware of this proposed method for investigating the prevalence and severity of CVP - in addition to providing rapid determination of treatment response in each patient, directing treatment decisions; thereby reducing the loss of time, money, resources and patient lives."
new hit from stringent search,NCT04341870,Sarilumab,"Phase 2, Phase 3","The overall objective of the study is to determine the therapeutic effect and tolerance of Sarilumab in combination with Azithromycin and Hydroxychloroquine, compared to Sarilumab only, patients with moderate, severe pneumonia associated with Coronavirus disease 2019 (COVID-19). Sarilumab is a human IgG1 monoclonal antibody that binds specifically to both soluble and membrane-bound IL-6Rs (sIL-6Rα and mIL-6Rα) and has been shown to inhibit IL-6-mediated signaling through these receptors. The study has a cohort multiple Randomized Controlled Trials (cmRCT) design. Randomization will occur prior to offering investigational treatments administration to patients enrolled in the CORIMUNO-19 cohort (NCT04324047). Sarilumab+Azithromycin+Hydroxychloroquine, or Sarilumab only will be administered to consenting adult patients hospitalized with COVID-19 either diagnosed with moderate or severe pneumonia requiring no mechanical ventilation. All patients will receive standard of care along with randomized investigational treatments. Outcomes of included patients will be compared between groups as well as with outcomes of patients in the CORIMUNO-19 cohort treated with other immune modulators or standard of care."
new hit from stringent search,NCT04343144,Nivolumab Injection,Phase 2,"It appears interesting to use nivolumab in severe patients infected with SARS-CoV-2 requiring hospitalization in conventional unit or in ICU.

This protocol CORIMUNO19-NIVO therefore, will evaluate the efficacy and safety of OPTIVO® (nivolumab) COVID-19 patients hospitalized in conventional unit.

The purpose of this study is to show the efficacy of nivolumab in patients with COVID-19 in combination with standard treatments.

A phase 2 randomized open trial will evaluate the efficacy and safety of optivo® (nivolumab) alone versus standard of care (SoC) in patients hospitalized in conventional units.

Patients will be randomly allocated 1:1 to either nivolumab or SoC."
new hit from stringent search,NCT04463004,Mavrilimumab,Phase 2,"The purpose of this prospective, Phase 2, multicenter, blinded, randomized placebo controlled study is to demonstrate that early treatment with mavrilimumab prevents progression of respiratory failure in patients with severe COVID-19 pneumonia and clinical and biological features of hyper-inflammation."
new hit from stringent search,NCT04361032,Tocilizumab Injection,Phase 3,"Assessment of Efficacy and Safety of Tocilizumab Compared to DefeROxamine, associated with standards treatments in COVID-19 (+) patients, Hospitalized In Intensive care in Tunisia.

Multicentric, comparative, randomized study."
new hit from stringent search,NCT04377503,Tocilizumab 180 MG/ML,Phase 2,This study compare the efficacy and safety of tocilizumab versus methylprednisolone in the cytokine release syndrome of patients with COVID-19
new hit from stringent search,NCT04447469,mavrilimumab,"Phase 2, Phase 3","Interventional, randomized, double-blind, placebo-controlled study encompassing 2 development phases (Phase 2 and Phase 3)."
new hit from stringent search,NCT04363853,Tocilizumab,Phase 2,"A phase II clinical trial will be carried out with the objective of studying the impact of the administration of Tocilizumab on the evolution of the acute respiratory distress syndrome (ARDS) in patients with severe or critical SARS-CoV-2 infection. Due to the high mortality of severe forms of SARS-CoV-2 and for ethical reasons, a control arm will not be included. Patients will be recruited by signing an informed consent and the baseline variables of interest will be recorded. Tocilizumab will be administered in one or two doses, depending on the case, and will be followed up for 30 days. The response to treatment, survival and evolution will be studied. Factors associated with improvement of ARDS and survival will be identified through multivariate analyzes. The results will be compared with those reported internationally."
new hit from stringent search,NCT04356937,Tocilizumab,Phase 3,"This is a randomized, double blind, multi-center study to evaluate the effects of tocilizumab compared to placebo on patient outcomes in participants with confirmed SARS-CoV-2 infection and evidence of systemic inflammation.

The aim of this study is to test the effect of Tocilizumab on multi-organ dysfunction in a phase 3 randomized controlled trial among hospitalized patients with COVID-19 infection.

Specifically, as compared to placebo, we will test whether tocilizumab is associated with a reduction in multi-organ dysfunction among hospitalized COVID-19 adult patients with elevated inflammatory measures. Multi-organ dysfunction will be measured as the incidence of the following composite endpoint (mechanical ventilation, renal replacement therapy, mechanical support, need for inotropes or vasopressors, liver dysfunction (increased bilirubin), and all-cause mortality). We will also assess multiple pre-specified secondary (exploratory) endpoints and safety endpoints.

We hypothesize that, as compared to placebo, tocilizumab will reduce transfer to the ICU, need for mechanical ventilation, increase rates of hospital discharge in patients diagnosed with severe COVID-19 infection and evidence of exaggerated inflammatory response."
new hit from stringent search,NCT04492514,Mavrilimumab,Phase 2,"The purpose of this prospective, Phase 2, multicenter, blinded, randomized placebo controlled study is to demonstrate that early treatment with mavrilimumab prevents progression of respiratory failure in patients with severe COVID-19 pneumonia and clinical and biological features of hyper-inflammation."
new hit from stringent search,NCT04399980,Mavrilimumab,Phase 2,"The purpose of this prospective, Phase 2, multicenter, blinded, randomized placebo controlled study is to demonstrate that early treatment with mavrilimumab prevents progression of respiratory failure in patients with severe COVID-19 pneumonia and clinical and biological features of hyper-inflammation."
new hit from stringent search,NCT04335071,Tocilizumab (TCZ),Phase 2,"The mortality rate of the disease caused by the corona virus induced disease (COVID-19) has been estimated to be 3.7% (WHO), which is more than 10-fold higher than the mortality of influenza. Patients with certain risk factors seem to die by an overwhelming reaction of the immune system to the virus, causing a cytokine storm with features of Cytokine-Release Syndrome (CRS) and Macrophage Activation Syndrome (MAS) and resulting in Acute Respiratory Distress Syndrome (ARDS). Several pro-inflammatory cytokines are elevated in the plasma of patients and features of MAS in COVID-19, include elevated levels of ferritin, d-dimer, and low platelets.

There is increasing data that cytokine-targeted biological therapies can improve outcomes in CRS or MAS and even in sepsis. Tocilizumab (TCZ), an anti-IL-6R biological therapy, has been approved for the treatment of CRS and is used in patients with MAS. Based on these data, it is hypothesized that TCZ can reduce mortality in patients with severe COVID-19 prone to CRS and ARDS.

The overall purpose of this study is to evaluate whether treatment with TCZ reduces the severity and mortality in patients with COVID-19."
new hit from stringent search,NCT04356508,Nivolumab,Phase 2,"This is an open-label, controlled, single-centre pilot study of nivolumab in adult patients with COVID-19. This clinical study aims to evaluate efficacy of anti-PD1 antibody in relation to viral clearance and its safety."
new hit from stringent search,NCT04357860,"Sarilumab 200 MG/1.14 ML Subcutaneous Solution [KEVZARA], Sarilumab 400 MG/2.28 ML Subcutaneous Solution [KEVZARA]",Phase 2,Early administration of sarilumab in hospitalized patients infected with COVID-19 who have pulmonary infiltrates and are at high risk of unfavorable evolution could decrease/prevent progression to acute respiratory distress syndrome (ARDS) requiring high flow nasal oxygenation (HFNO) or either invasive or non-invasive mechanical ventilation.
new hit from stringent search,NCT04534725,Lenzilumab,Phase 3,"A multi-centre Australian trial with four arms aims to evaluate several different immune modulating drugs for prevention and treatment of COVID-19 specifically in the cancer population.

ARM 1 is evaluating the effect of interferon-alpha (vs placebo) on the incidence of COVID-19 infection in cancer patients with no COVID-19 infection or no known COVID-19 positive contacts.

ARM 2 is evaluating the effect of interferon-alpha (vs placebo) on the incidence of COVID-19 infection in cancer patients with confirmed exposure to COVID-19 virus.

ARM 3 is evaluating the effect of Selinexor (vs placebo) on the incidence of COVID-19 infection in cancer patients with moderate COVID-19 infection.

ARM 4 is evaluating the effect of Lenzilumab (vs placebo) on the treatment of COVID-19 infection in cancer patients with severe COVID-19 infection.

Participants may become eligible and transition to different arms and treatments if they become exposed to COVID-19 or are hospitalised with an active moderate/severe COVID-19 infection.

It is hoped this research will provide insight into the best practice for prevention and treatment of COVID-19 in cancer patients as emerging standard of care measures are not always suitable to this especially vulnerable population."
new hit from stringent search,NCT04475588,Itolizumab IV infusion,Phase 2,"Randomized, Parallel Group, Active Controlled Trial"
new hit from stringent search,NCT04339712,Tocilizumab,Phase 2,Our aim is to conduct one trial of personalized immunotherapy in patients with SARS-CoV-2 (COVID-19) associated with organ dysfunction and with laboratory findings of macrophage activation syndrome or immune dysregulation. These patients will be selected by the use of a panel of biomarkers and laboratory findings and they will be allocated to immunotherapy treatment according to their needs.
new hit from stringent search,NCT04423042,Tocilizumab,Phase 3,This is a cohort study of COVID-19 patients with hyperinflammation. It aims to determine the impact of adjunctive Tocilizumab (TCZ) to standard of care on the reduction of hyperinflammation-related mortality in COVID-19. Patients with COVID-19 are at high risk of life-threatening hyperinflammation and death. One in three COVID-19 patients admitted to ICU was found to develop life-threatening hyperinflammation. The risk of death when untreated is estimated to be 50-80%.
new hit from stringent search,NCT04403685,Tocilizumab,Phase 3,"The trial evaluates the efficacy and safety of Tocilizumab, which rapidly reduces the inflammation process through inhibition of IL-6 in patients with moderate to severe COVID-19 with increased inflammatory markers. There will be two arms in the trial, one receiving the best supportive care, and the other receiving it plus tocilizumab. Patients will be followed until Day 29 after randomization."
new hit from stringent search,NCT04492501,Tocilizumab,Not Applicable,"Beyond supportive care, there are currently no proven treatment options for coronavirus disease (COVID-19) and related pneumonia, caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2).Investigators have seen recently from experience in Western countries with best health care systems that pandemics cannot be managed in hospitals. Investigators have seen ICUs crowded to capacity, healthcare workers being exposed and going to quarantine or dying after exposure to large doses of viral inoculums. Investigators recommend that institutions should register for Clinical trials and consider emergency use of TPE. In Pandemics, time is of essence to avoid mortality by intervening early with available evidence, preferably as part of clinical trial.Since the outbreak of corona virus disease (COVID-19), main treatment modalities have been antivirals, interferons, glucocorticoids, anti-coagulants and supportive treatment in addition to traditional Chinese medicine. There are also clinical trials exploring hydroxyquinoline / chloroquine sulphate, azithromycin, immunoglobulins, Vitamin-C, washed microbiota, nebulized interferon, teicoplanin as well as Mesenchymal stem cells. However, most of these trials were small and remain in the experimental phase with currently no effective / speciﬁc antiviral with robust scientific evidence as regards the mortality reduction in COVID-19.In an attempt to treat COVID-19, investigator will use different investigational treatment either alone or in combination to see mortality and morbidity benefit on the basis of limitted evidence available so far. These investigational modalities include Therapeutic plasma exchange (TPE), Convalescent Plasma (CP), Remdesivir, Tocilizumab and Mesenchymal stem cell (MSC) therapy in addition to standard supportive treatment."
new hit from stringent search,NCT04397497,Mavrilimumab,Phase 2,"This study is a prospective, phase II, multi-center, randomized, double-blind, placebo-controlled trial to evaluate the efficacy and safety of mavrilimumab in hospitalized patients with acute respiratory failure requiring oxygen supplementation in COVID- 19 pneumonia and a hyper-inflammatory status. The study will randomize patients to mavrilimumab or placebo, in addition to standard of care per local practice. The total trial duration will be 12 weeks after single mavrilimumab or placebo dose."
new hit from stringent search,NCT04370834,Tocilizumab,Phase 2,"This phase II expanded access trial will study how well tocilizumab works in reducing the serious symptoms including pneumonitis (severe acute respiratory distress) in patients with cancer and COVID-19. COVID-19 is caused by the SARS-CoV-2 virus. COVID-19 can be associated with an inflammatory response by the immune system which may also cause symptoms of COVID-19 to worsen. This inflammation may be called ""cytokine storm,"" which can cause widespread problems in the body. Tocilizumab is a medicine designed to block the action of a protein called interleukin-6 (IL-6) that is involved with the immune system and is known to be a key factor for problems with excessive inflammation. Tocilizumab is effective in treating ""cytokine storm"" from a type of cancer immunotherapy and may be effective in reducing the inflammatory response and ""cytokine storm"" seen in severe COVID-19 disease. Treating the inflammation may help to reduce symptoms, improve the ability to breathe without a breathing machine (ventilator), and prevent patients from having more complications."
